id,location_id,start_date,end_date,measured_variable_id
1,1,2020-02-19 07:28:00+00,2020-02-19 07:32:02+00,1
2,6,2020-02-19 07:41:03+00,2020-02-19 07:44:48+00,1
3,7,2020-02-19 07:56:03+00,2020-02-19 07:58:35+00,1
4,2,2020-02-19 08:22:36+00,2020-02-19 08:25:48+00,1
5,8,2020-02-19 08:31:09+00,2020-02-19 08:34:14+00,1
6,3,2020-02-19 08:46:40+00,2020-02-19 08:50:51+00,1
7,9,2020-02-19 08:57:19+00,2020-02-19 09:00:27+00,1
8,4,2020-02-19 09:11:03+00,2020-02-19 09:15:02+00,1
